Wert,Anzahl
Eneas,358
hêrre,204
Turnus,181
vrouwe,141
künic,110
Troiaere,94
helt,82
Pallas,56
Dido,55
Latinus,46
rîche,45
tohter,44
man,43
sun,42
maget,37
vater,36
Lavinia,34
wîgant,33
Venus,32
küniginne,31
Camilla,31
maere,29
muoter,27
Ascanius,25
Sibylle,21
juncvrouwe,20
wîp,19
gotinne,16
swëster,16
herzoge,15
jungelinc,13
Evander,12
Anchises,11
Nisus,11
dëgen,11
Menelaus,10
Cupido,10
wîs,10
Anna,10
Mezentius,10
Eurialus,9
Amor,9
got,8
Messapus,8
Vulcanus,8
Paris,7
Juno,7
vriunt,7
Silvius,7
Drances,7
Vergil,6
bruoder,6
meister,6
Tyrreus,6
vürste,6
grâve,6
magedîn,6
gast,5
geselle,5
Rhadamanthus,5
Romulus,5
Lausus,5
Aventinus,5
junchêrre,5
Volzan,5
rîtaere,5
keiser,5
Tarcun,5
Priamus,4
Helena,4
alt,4
Ylionix,4
Ulixes,4
schalc,4
Hercules,4
Licus,4
Bitias,4
küene,4
Julius,4
Dardanus,3
Charon,3
Cerberus,3
verlorn,3
vrum,3
Helenor,3
Pandarus,3
wërt,3
Friedrich,3
Arruns,3
Geometras,3
Fortuna,2
Sychaeus,2
Krieche,2
Sinon,2
Aeolus,2
Diana,2
wine,2
vartgenôz,2
ver,2
prophêtisse,2
Hector,2
wirt,2
Claudius,2
getân,2
Mars,2
hêr,2
Arachne,2
bilde,2
geborn,2
Carpide,2
Neptanabus,2
Vulcan,2
Heinrich,2
Hecuba,1
Alexander,1
warc,1
#,1
junclich,1
wilde,1
Phoebus,1
Pluto,1
Prosperina,1
Phocus,1
Orpheus,1
harpfaere,1
portenaere,1
tiuvel,1
torwart,1
arc,1
Adrastus,1
Polynices,1
Tydeus,1
Ypomedon,1
Patronopeus,1
Amphioras,1
Capaneus,1
Troilus,1
Antenor,1
Athamas,1
Tydides,1
Agamemnon,1
Achilles,1
Ajax,1
Prothesilaus,1
Tisiphone,1
Tantalus,1
Tityos,1
Minos,1
gespraeche,1
edel,1
Silviane,1
Neptun,1
gemeit,1
smidegot,1
Cacus,1
Rhamnes,1
wîssage,1
rise,1
Lycomide,1
mâc,1
Daunus,1
vëhtgenôz,1
hërze,1
milte,1
ungetriuwe,1
starc,1
Oriolus,1
Larein,1
Flemin,1
Chloreus,1
priester,1
wërcman,1
arm,1
zage,1
kint,1
ane,1
knëht,1
Troas,1
arzât,1
Japyx,1
tump,1
unwîs,1
müedinc,1
brût,1
âne,1
Caesar,1
Octavianus,1
Augustus,1
Adam,1
